state,state_abbreviation,county,party,candidate,votes,fraction_votes
Alabama,AL,Montgomery,Republican,Ted Cruz,4700,0.17600000000000000
Alabama,AL,Morgan,Republican,Ben Carson,2790,0.114
Alabama,AL,Morgan,Republican,Donald Trump,10909,0.446
Alabama,AL,Morgan,Republican,John Kasich,1109,0.045
Alabama,AL,Morgan,Republican,Marco Rubio,4488,0.183
Alabama,AL,Morgan,Republican,Ted Cruz,4828,0.19700000000000000
Alabama,AL,Perry,Republican,Ben Carson,15,0.04
Alabama,AL,Perry,Republican,Donald Trump,192,0.515
Alabama,AL,Perry,Republican,John Kasich,2,0.005
Alabama,AL,Perry,Republican,Marco Rubio,33,0.08800000000000000
Alabama,AL,Perry,Republican,Ted Cruz,123,0.33
Alabama,AL,Pickens,Republican,Ben Carson,287,0.113
Alabama,AL,Pickens,Republican,Donald Trump,1124,0.441
Alabama,AL,Pickens,Republican,John Kasich,65,0.025
Alabama,AL,Pickens,Republican,Marco Rubio,353,0.138
Alabama,AL,Pickens,Republican,Ted Cruz,658,0.258
Alabama,AL,Pike,Republican,Ben Carson,698,0.129
Alabama,AL,Pike,Republican,Donald Trump,2493,0.46
Alabama,AL,Pike,Republican,John Kasich,172,0.032
Alabama,AL,Pike,Republican,Marco Rubio,798,0.147
Alabama,AL,Pike,Republican,Ted Cruz,1092,0.201
Alabama,AL,Randolph,Republican,Ben Carson,426,0.09300000000000000
Alabama,AL,Randolph,Republican,Donald Trump,2352,0.516
Alabama,AL,Randolph,Republican,John Kasich,133,0.029000000000000000
Alabama,AL,Randolph,Republican,Marco Rubio,584,0.128
Alabama,AL,Randolph,Republican,Ted Cruz,942,0.207
Alabama,AL,Russell,Republican,Ben Carson,298,0.079
Alabama,AL,Russell,Republican,Donald Trump,1784,0.474
Alabama,AL,Russell,Republican,John Kasich,106,0.028000000000000000
Alabama,AL,Russell,Republican,Marco Rubio,463,0.12300000000000000
Alabama,AL,Russell,Republican,Ted Cruz,1016,0.27
